Date,Close/Last,Open,High,Low,VIX_Close,SPY_Return,VIX_Return
2020-04-15,2783.36,2795.64,2801.88,2761.54,40.84,-0.022030456139364496,0.08156779661016955
2020-04-16,2799.55,2799.34,2806.51,2764.32,40.11,0.005816710738100639,-0.017874632713026584
2020-04-17,2874.56,2842.43,2879.22,2830.88,38.15,0.026793591827257934,-0.048865619546247796
2020-04-20,2823.16,2845.62,2868.98,2820.43,43.83,-0.017880997439608137,0.1488859764089121
2020-04-21,2736.56,2784.81,2785.54,2727.1,45.41,-0.030674846625766805,0.036048368697239264
2020-04-22,2799.31,2787.89,2815.1,2775.95,41.98,0.02293024819481393,-0.07553402334287607
2020-04-23,2797.8,2810.42,2844.9,2794.26,41.38,-0.000539418642451106,-0.014292520247736862
2020-04-24,2836.74,2812.64,2842.71,2791.76,35.93,0.01391807849024218,-0.1317061382310295
2020-04-27,2878.48,2854.65,2887.72,2852.89,33.29,0.014714073196697708,-0.07347620372947394
2020-04-28,2863.39,2909.96,2921.15,2860.71,33.57,-0.005242350129234907,0.008410934214478916
2020-04-29,2939.51,2918.46,2954.86,2912.16,31.23,0.026583874358714787,-0.06970509383378021
2020-04-30,2912.43,2930.91,2930.91,2892.47,34.15,-0.009212419757034462,0.09349983989753441
2020-05-01,2830.71,2869.09,2869.09,2821.61,37.19,-0.028059043479156554,0.08901903367496344
2020-05-04,2842.74,2815.01,2844.24,2797.85,35.97,0.004249817183674676,-0.032804517343371864
2020-05-05,2868.44,2868.88,2898.23,2863.55,33.61,0.009040573531170715,-0.06561023074784544
2020-05-06,2848.42,2883.14,2891.11,2847.65,34.12,-0.006979403438802989,0.015174055340672288
2020-05-07,2881.19,2878.26,2901.92,2876.48,31.44,0.011504623615899323,-0.07854630715123079
2020-05-08,2929.8,2908.83,2932.16,2902.88,27.98,0.016871501011734846,-0.11005089058524176
2020-05-11,2930.32,2915.46,2944.25,2903.44,27.57,0.0001774865178509888,-0.014653323802716223
2020-05-12,2870.12,2939.5,2945.82,2869.59,33.04,-0.02054383139042848,0.1984040623866521
2020-05-13,2820.0,2865.86,2874.14,2793.15,35.28,-0.017462684487059787,0.06779661016949157
2020-05-14,2852.5,2794.54,2852.8,2766.64,32.61,0.01152482269503552,-0.07568027210884354
2020-05-15,2863.7,2829.95,2865.01,2816.78,31.89,0.003926380368098004,-0.022079116835326595
2020-05-18,2953.91,2913.86,2968.09,2913.86,29.3,0.03150120473513285,-0.0812166823455629
